"Sample";"Depth (x)";"Reference coverage (in%)";"Household";"Fokontany";"Host";"phylogroup";"ST";"mdf.A.";"dfrA14";"blaCTX.M.15";"blaTEM.1B";"qnrS1";"tet.A.";"aph.3....Ib";"aph.6..Id";"sul2";"fosA3";"blaCTX.M.14";"blaCTX.M.55";"blaCTX.M.1";"blaCTX.M.27";"dfrA8";"aadA5";"dfrA17";"mph.A.";"blaSHV.13";"dfrA5";"sul1";"aac.3..IId";"dfrB4";"qepA4";"tet.B.";"aadA2";"dfrA1";"dfrA12";"qnrVC4";"fosB1";"aadA1";"erm.B.";"aac.6...Ib.cr";"catB3";"blaOXA.1";"catA1";"blaCMY.48";"blaOXA.48";"aac.3..IIe";"floR";"catB9";"blaCTX.M.124";"blaSHV.12";"aac.3..IIa";"blaTEM.169";"blaTEM.158";"sul3";"cmlA1";"aac.6...Ic";"blaSRT.2";"blaIMP.4";"blaTEM.154";"tet.D.";"blaTEM.1C";"blaTEM.35";"dfrA27";"mef.B.";"ant.3....Ia";"tet.H.";"blaCTX.M.71";"qnrB1";"blaCTX.M.3";"ARR.3";"aadA16";"qnrB6";"ARR.2";"blaOXA.10";"blaTEM.32";"parc";"gyrb"
"CT13_S56";"38";"76.2";"12";"Iavoloha";"Cat";"F";"1722";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PC70_S1";"45.7";"76.3";"49";"Mahabo";"Pig";"F";"1722";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN12_S149";"52.3";"75.9";"5";"Iavoloha";"Duck";"F";"1722";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PG90_S138";"50.7";"75.9";"15";"Iavoloha";"Chicken";"F";"1722";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"PC80_S126";"49";"76.5";"55";"Mahabo";"Pig";"F";"1722";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PG311_S125";"46.7";"76.5";"56";"Morarano";"Chicken";"F";"1722";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PG33_S193";"32.2";"77.4";"6";"Ambohimanala";"Chicken";"F";"354";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"CH86_S93";"31.9";"77.6";"63";"Mahavolona";"Dog";"F";"354";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"OI47_S96";"19.2";"77.4";"65";"Mahavolona";"Goose";"F";"354";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"H154-redeposit_S7";"58.5";"84.2";"27";"Belambanana";"Human";"F";"648";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";NA;NA
