CLUSTER	TAXA
320	CT3_S18
812	PG89_S145
856	CT55_S273
826	CN44_S123
190	H332_S274
994	H177_S6
17	CN83-redeposit_S262
454	E33_S61
571	H129_S53
362	PC76_S108
21	H277_S113
619	CN1_S196
682	CN90_S115
605	PH13_S87
606	PC5_S36
31	H340_S111
454	H239_S7
681	PG373-redeposit_S1
279	PC4_S22
593	PC77_S36
994	CH20_S15
206	CN49-redeposit_S2
476	CH35_S140
320	CH96_S16
569	PC63_S96
686	PC45_S25
454	PG104_S70
178	PG58_S48
398	CN26_S11
854	PG316_S144
36	PC80_S126
43	PG269_S131
668	PG47_S192
606	OI27_S4
210	PG211_S15
760	PC87_S135
869	PG317_S150
540	PG1_S3
22	H74_S144
388	PG124_S37
606	PC41-redeposit_S4
893	PG370_S270
54	PC36_S41
17	H99_S143
70	PG3-redeposit_S1
894	CH7_S188
926	OI25_S124
994	H39_S46
361	PC57_S90
943	CH81_S143
476	PH10_S160
476	CH2_S71
205	PG363_S267
206	CN51_S87
400	PG394_S14
259	CH49_S16
843	PG178_S2
445	PC38_S33
219	PC58_S91
279	H139_S273
207	PG92_S51
326	PC59_S92
279	CN31_S151
660	BV23-redeposit_S150
21	H154-redeposit_S7
454	H241_S8
548	H348_S148
893	H108_S199
869	H191_S10
643	PG294_S21
577	CH31_S47
577	BV4_S105
798	PG86_S135
70	CH89_S145
760	H5-redeposit_S5
930	PG270_S132
993	H225_S114
279	H282_S150
432	PG145-redeposit_S10
36	PC70_S1
458	CN87_S153
19	OI47_S96
843	PG273_S20
826	E49_S117
416	CN17_S147
259	PG210_S14
843	OI26_S262
916	H204_S107
571	DI13_S156
787	H359_S13
340	PG251_S4
603	CH74_S18
603	PC29_S52
930	PG231_S23
458	PG189_S5
694	PC85_S132
342	PC39_S36
696	H82_S55
549	OI28-redep_S1
635	CH60_S22
660	H242_S271
22	PG200_S8
854	H122_S136
211	PG239_S37
95	CN68_S153
723	CH59_S21
681	PC99_S154
326	PC56_S89
177	CT27_S155
619	PC86_S133
249	DI7_S115
843	CH26_S43
36	PG90_S138
31	PG253_S5
283	PG72_S73
326	PC62_S95
854	H105-redeposit_S38
210	BV86_S118
969	CH56_S19
760	PG94_S12
925	H196_S105
117	PG285_S154
868	OI49_S109
970	CH38_S34
603	CN56_S69
358	H7_S268
964	PH5_S105
548	PG299_S9
571	CH32_S172
19	CH86_S93
326	PG207_S13
454	PG385_S10
458	PG195_S6
432	H187_S4
227	PC91_S107
72	PC68_S100
966	E79_S7
603	CN59_S118
695	H342_S8
398	PG283_S156
571	CN85_S93
22	PG295_S4
391	PG258_S124
220	PG69-redeposit_S5
598	PG254_S6
943	PG314_S141
178	PG64_S38
853	OI24_S130
362	CN84_S11
391	PG259_S125
362	H66_S191
72	PC67_S99
930	PG101_S40
696	H87_S8
487	CH14_S138
194	CT15_S46
342	CN61_S142
916	BV1_S194
220	PG108_S269
431	PC31_S170
227	H308_S143
416	H236_S6
70	H94_S150
207	H49_S266
875	PC37_S68
189	H84_S64
724	BV36_S28
497	H76_S107
643	BV31_S27
416	PG103_S34
31	H339_S261
209	BV25_S137
342	BV5-redeposit_S149
812	CH90_S276
416	PG102_S35
696	E22_S60
787	PG289_S145
798	PC25_S142
206	DI5_S114
603	PC27_S265
916	H200_S106
467	PH7_S161
117	PG280_S155
943	PG312_S140
577	PC81_S145
413	PG136_S26
828	H248_S10
17	H287_S159
210	PG306_S18
361	PG227_S3
563	CN65_S114
572	CH16_S14
656	E37_S157
398	CH71_S2
211	CN60_S114
95	H164_S148
868	H360_S105
467	PG321_S117
283	CN70_S138
635	CN81_S91
72	CH67_S104
916	H205_S108
577	PG297_S17
548	BV43_S31
601	CT66_S265
686	PG213_S17
577	H13_S56
320	H194_S103
569	PC66_S98
660	H283_S147
210	PG320_S131
21	H190_S9
22	H71_S63
694	CT38_S121
195	CN33-redeposit_S6
853	OI50_S79
340	PG83_S134
205	PG362_S71
964	H217_S110
812	CH37_S54
463	CH21_S40
969	CH45_S13
656	DI1_S186
966	E63_S120
724	CH48_S15
696	H85_S9
210	PG309_S119
682	PG381_S147
667	DI12_S35
283	H88_S142
926	PC94_S12
681	PC100_S268
856	PP19_S107
605	PG35_S55
398	BV39_S30
966	PH6_S106
572	E73_S19
41	CN66_S152
21	CN29_S146
854	H125_S106
798	CN16_S135
655	OI32_S13
22	CN69_S115
827	CN24_S20
994	PG266_S128
601	PG335_S110
117	BV76_S111
342	PH14-redeposit_S9
178	PG56-redeposit_S3
279	PH15_S144
19	PG33_S193
926	PH8_S162
724	PC53_S29
812	PH11_S157
36	PG311_S125
694	CN25_S10
41	PG85_S13
894	H290_S90
930	H3_S195
388	PG128_S24
826	H228_S115
572	PG75_S148
189	PC28_S196
875	PG212_S16
36	CN12_S149
635	PG214_S18
855	CH62_S23
925	H42_S271
70	H136_S109
856	H198_S8
249	CN35_S53
724	OI7_S24
540	H311-redeposit_S263
497	CH22_S41
826	PG248_S124
617	PG7_S35
695	CT34_S120
668	H294_S155
307	CH43_S12
505	PG78_S202
432	PC55_S31
649	CN92_S14
667	CN71_S260
723	PG218_S21
660	CN89_S106
569	PG216_S19
211	CH78_S137
606	PC65_S97
487	OI21_S113
668	E10_S61
925	PG324_S112
43	H207_S109
413	OI37_S128
445	DI2_S147
54	OI40_S146
195	H1_S112
875	PC2_S25
563	PC47_S24
605	PH12_S4
828	PG205_S11
259	OI9_S26
623	PC23_S6
868	PG166_S136
827	CH97_S19
227	H298_S109
760	BV19_S192
194	CT12_S38
572	PC83_S139
432	H26_S57
868	CN57_S7
431	PC34_S133
41	H73_S193
283	PC60_S93
211	PG310_S136
206	CN48-redeposit_S1
307	CH8_S267
970	PC54_S30
686	CH57_S20
798	BV16_S49
970	H183_S7
326	PC61_S94
643	PG265_S127
970	OI38_S16
358	E35_S197
72	CH66_S103
855	H118-redeposit_S1
856	H160-redeposit_S11
209	BV27_S110
617	OI17_S110
828	CH54_S17
868	CN40_S154
413	PC51_S27
569	PC95_S80
869	OI41_S8
855	H117_S140
549	H265_S151
655	OI31_S15
993	H231_S276
219	PG367_S72
416	H100_S195
572	CH33_S174
362	H104_S1
598	CV9_S112
463	H78_S67
249	CN28_S5
623	PG39_S201
593	PC30-redeposit_S2
54	H172_S149
190	CN58_S110
467	PP12_S88
760	PG271_S133
656	PG137_S205
649	H12_S69
400	CN62_S148
300	H31_S108
930	OI35_S123
54	CH15_S17
798	PG88_S65
476	PG315_S151
966	PG179_S3
320	PG344_S89
605	CN79_S90
548	PG267_S129
828	PG307_S116
21	H155-redeposit_S10
41	H295-redeposit_S8
540	PG348_S264
643	PG268_S130
300	CN39_S153
190	BV38_S29
17	CH23_S42
540	H35_S65
178	PG63_S171
505	PG76_S139
117	H286_S149
682	OI53_S76
70	E25_S272
445	PG206_S12
497	H93_S1
668	DI8_S116
177	PG121_S50
686	PC52_S28
826	PG250_S3
656	PC19_S143
619	PC78_S122
994	BV22_S63
