"sample","Host"
"BV1_S194","Cattle"
"BV16_S49","Cattle"
"BV18_S57","Cattle"
"BV19_S192","Cattle"
"BV22_S63","Cattle"
"BV23-redeposit_S150","Cattle"
"BV25_S137","Cattle"
"BV27_S110","Cattle"
"BV31_S27","Cattle"
"BV36_S28","Cattle"
"BV38_S29","Cattle"
"BV39_S30","Cattle"
"BV4_S105","Cattle"
"BV43_S31","Cattle"
"BV5-redeposit_S149","Cattle"
"BV53_S32","Cattle"
"BV6_S190","Cattle"
"BV76_S111","Cattle"
"BV78_S106","Cattle"
"BV85_S113","Cattle"
"BV86_S118","Cattle"
"CH10_S102","Dog"
"CH14_S138","Dog"
"CH15_S17","Dog"
"CH16_S14","Dog"
"CH17_S139","Dog"
"CH19_S16","Dog"
"CH2_S71","Dog"
"CH20_S15","Dog"
"CH21_S40","Dog"
"CH22_S41","Dog"
"CH23_S42","Dog"
"CH25_S27","Dog"
"CH26_S43","Dog"
"CH30_S39","Dog"
"CH31_S47","Dog"
"CH32_S172","Dog"
"CH33_S174","Dog"
"CH35_S140","Dog"
"CH37_S54","Dog"
"CH38_S34","Dog"
"CH39_S2","Dog"
"CH43_S12","Dog"
"CH45_S13","Dog"
"CH46_S14","Dog"
"CH48_S15","Dog"
"CH49_S16","Dog"
"CH54_S17","Dog"
"CH55_S18","Dog"
"CH56_S19","Dog"
"CH57_S20","Dog"
"CH59_S21","Dog"
"CH60_S22","Dog"
"CH62_S23","Dog"
"CH66_S103","Dog"
"CN66_S152","Duck"
"CH67_S104","Dog"
"CH7_S188","Dog"
"CH71_S2","Dog"
"CH72_S67","Dog"
"CH74_S18","Dog"
"CH78_S137","Dog"
"CH8_S267","Dog"
"CH81_S143","Dog"
"CH86_S93","Dog"
"CH89_S145","Dog"
"CH90_S276","Dog"
"CH97_S19","Dog"
"CN1_S196","Duck"
"CN12_S149","Duck"
"CN13_S203","Duck"
"CN14_S198","Duck"
"CN15_S62","Duck"
"CN16_S135","Duck"
"CN17_S147","Duck"
"CN18_S4","Duck"
"CN23_S7","Duck"
"CN24_S20","Duck"
"CN25_S10","Duck"
"CN26_S11","Duck"
"CN28_S5","Duck"
"CN29_S146","Duck"
"CN31_S151","Duck"
"CN33-redeposit_S6","Duck"
"CN35_S53","Duck"
"CN36_S152","Duck"
"CN39_S153","Duck"
"CN40_S154","Duck"
"CN44_S123","Duck"
"CN48-redeposit_S1","Duck"
"CN49-redeposit_S2","Duck"
"CN51_S87","Duck"
"CN56_S69","Duck"
"CN57_S7","Duck"
"CN58_S110","Duck"
"CN59_S118","Duck"
"CN60_S114","Duck"
"CN61_S142","Duck"
"CN62_S148","Duck"
"CN63-redeposit_S4","Duck"
"CN65_S114","Duck"
"CN68_S153","Duck"
"CN69_S115","Duck"
"CN70_S138","Duck"
"CN71_S260","Duck"
"CN75-redeposit_S1","Duck"
"CN79_S90","Duck"
"CN81_S91","Duck"
"CN82-redeposit_S7","Duck"
"CN83-redeposit_S262","Duck"
"CN84_S11","Duck"
"CN85_S93","Duck"
"CN86_S117","Duck"
"CN87_S153","Duck"
"CN89_S106","Duck"
"CN90_S115","Duck"
"CN92_S14","Duck"
"CH96_S16","Dog"
"CT12_S38","Cat"
"CT13_S56","Cat"
"CT15_S46","Cat"
"CT20_S45","Cat"
"CT21_S64","Cat"
"CT27_S155","Cat"
"CT3_S18","Cat"
"CT32_S156","Cat"
"CT34_S120","Cat"
"CT38_S121","Cat"
"CT49_S17","Cat"
"CT55_S273","Cat"
"CT6_S51","Cat"
"CT63_S278","Cat"
"CT66_S265","Cat"
"CT8_S19","Cat"
"CV8_S101","Horse"
"CV9_S112","Horse"
"DI1_S186","Turkey"
"DI10_S118","Turkey"
"DI12_S35","Turkey"
"DI13_S156","Turkey"
"DI2_S147","Turkey"
"DI4_S60","Turkey"
"DI5_S114","Turkey"
"DI7_S115","Turkey"
"DI8_S116","Turkey"
"DI9_S117","Turkey"
"E10_S61","Water"
"E20_S62","Water"
"E22_S60","Water"
"E25_S272","Water"
"E30_S49","Water"
"E33_S61","Water"
"E35_S197","Water"
"E37_S157","Water"
"E49_S117","Water"
"E52_S118","Water"
"E53_S119","Water"
"E63_S120","Water"
"E71_S158","Water"
"E73_S19","Water"
"E79_S7","Water"
"E84-redeposit_S3","Water"
"E87-redeposit_S6","Water"
"E97_S77","Water"
"H1_S112","Human"
"H100_S195","Human"
"H104_S1","Human"
"H105-redeposit_S38","Human"
"H108_S199","Human"
"H11_S59","Human"
"H117_S140","Human"
"H118-redeposit_S1","Human"
"H12_S69","Human"
"H122_S136","Human"
"H125_S106","Human"
"H129_S53","Human"
"H13_S56","Human"
"H136_S109","Human"
"H137_S50","Human"
