accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR17192692	SRP350197	new	PRJNA787774	SAMN23843856	BV1	BV1	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV1_S194_R1.fastq.gz	BV1_S194_R2.fastq.gz				
SRR17192691	SRP350197	new	PRJNA787774	SAMN23843857	BV16	BV16	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV16_S49_R1.fastq.gz	BV16_S49_R2.fastq.gz				
SRR17192452	SRP350197	new	PRJNA787774	SAMN23843858	BV18	BV18	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV18_S57_R1.fastq.gz	BV18_S57_R2.fastq.gz				
SRR17192373	SRP350197	new	PRJNA787774	SAMN23843859	BV19	BV19	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV19_S192_R1.fastq.gz	BV19_S192_R2.fastq.gz				
SRR17192326	SRP350197	new	PRJNA787774	SAMN23843860	BV22	BV22	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV22_S63_R1.fastq.gz	BV22_S63_R2.fastq.gz				
SRR17192215	SRP350197	new	PRJNA787774	SAMN23843861	BV23	BV23	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV23-redeposit_S150_R1.fastq.gz	BV23-redeposit_S150_R2.fastq.gz				
SRR17192550	SRP350197	new	PRJNA787774	SAMN23843862	BV25	BV25	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV25_S137_R1.fastq.gz	BV25_S137_R2.fastq.gz				
SRR17192539	SRP350197	new	PRJNA787774	SAMN23843863	BV27	BV27	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV27_S110_R1.fastq.gz	BV27_S110_R2.fastq.gz				
SRR17192208	SRP350197	new	PRJNA787774	SAMN23843864	BV31	BV31	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV31_S27_R1.fastq.gz	BV31_S27_R2.fastq.gz				
SRR17192197	SRP350197	new	PRJNA787774	SAMN23843865	BV36	BV36	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV36_S28_R1.fastq.gz	BV36_S28_R2.fastq.gz				
