Sample	ST
BV23-redeposit	12821
BV6	0
CH10	12821
CH19	12821
CH21	12821
CH74	12780
CN14	0
CN56	12780
CN59	12780
CN65	12818
CN84	0
CN89	12821
CT32	0
CV8	0
DI1	12821
DI9	0
E37	12821
E52	0
E97	0
H104	0
H196	13247
H242	12821
H283	12821
H66	0
H78	12821
OI14	0
OI31	12821
OI32	12821
OI37	12821
OI44	0
PC19	12821
PC20	12821
PC22	12821
PC27	12780
PC29	12780
PC30-redeposit	12821
PC47	12818
PC51	12821
PC76	0
PC77	12821
PC84	0
PC98	0
PG115	0
PG136	12821
PG137	12821
PG195	0
PG199	0
PG308	12821
PG321	12821
PG324	13247
PG364	0
PG366	12821
PG40	0
PG83	0
PH7	12821
PP12	12821
