"";"CLUSTER";"meanSNP";"maxSNP";"nHousehold";"nHost";"Households";"Samples";"HostType";"pvalpop";"pvalfoy"
"1";19;11;14;3;3;"63,65,6,";"CH86_S93,OI47_S96,PG33_S193,";"Dog,Goose,Chicken,";0,4369;0,3543
"2";22;9,4;13;4;5;"57,14,14,36,53,";"CN69_S115,H71_S63,H74_S144,PG200_S8,PG295_S4,";"Duck,Human,Human,Chicken,Chicken,";0,9516;0,9775
"3";31;6;6;2;3;"68,68,44,";"H339_S261,H340_S111,PG253_S5,";"Human,Human,Chicken,";0,9067;0,2683
"4";36;11,4;20;5;5;"5,49,55,56,15,";"CN12_S149,PC70_S1,PC80_S126,PG311_S125,PG90_S138,";"Duck,Pig,Pig,Chicken,Chicken,";0,6878;0,9612
"5";41;15,1666666666667;20;3;4;"57,60,14,14,";"CN66_S152,H295-redeposit_S8,H73_S193,PG85_S13,";"Duck,Human,Human,Chicken,";0,8473;0,7414
"6";43;7;7;2;2;"40,47,";"H207_S109,PG269_S131,";"Human,Chicken,";1;0,6213
"7";70;10,8;16;4;5;"65,17,23,17,1,";"CH89_S145,E25_S272,H136_S109,H94_S150,PG3-redeposit_S1,";"Dog,Water,Human,Human,Chicken,";0,531;0,5945
"8";72;2,16666666666667;3;2;4;"44,46,44,46,";"CH66_S103,CH67_S104,PC67_S99,PC68_S100,";"Dog,Dog,Pig,Pig,";0,1285;0,0804
"9";95;5;5;2;2;"57,30,";"CN68_S153,H164_S148,";"Duck,Human,";0,5318;0,7101
"10";117;4,33333333333333;6;3;4;"55,58,50,50,";"BV76_S111,H286_S149,PG280_S155,PG285_S154,";"Cattle,Human,Chicken,Chicken,";0,6857;0,2174
"11";177;5;5;2;2;"29,22,";"CT27_S155,PG121_S50,";"Cat,Chicken,";0,2818;0,0744
"12";178;5;7;1;4;"10,10,10,10,";"PG56-redeposit_S3,PG58_S48,PG63_S171,PG64_S38,";"Chicken,Chicken,Chicken,Chicken,";0,6005;1
"13";189;13;13;1;2;"16,16,";"H84_S64,PC28_S196,";"Human,Pig,";0,6801;1
"14";190;9,33333333333333;14;3;3;"36,54,67,";"BV38_S29,CN58_S110,H332_S274,";"Cattle,Duck,Human,";0,2544;0,2669
"15";194;4;4;2;2;"11,12,";"CT12_S38,CT15_S46,";"Cat,Cat,";0,0044;0,0533
"16";195;9;9;2;2;"26,1,";"CN33-redeposit_S6,H1_S112,";"Duck,Human,";0,5318;0,7509
"17";205;3;3;1;2;"67,67,";"PG362_S71,PG363_S267,";"Chicken,Chicken,";0,8843;1
"18";206;2,16666666666667;3;1;4;"45,45,45,45,";"CN48-redeposit_S1,CN49-redeposit_S2,CN51_S87,DI5_S114,";"Duck,Duck,Duck,Turkey,";0,0085;0,1239
"19";207;4;4;2;2;"10,16,";"H49_S266,PG92_S51,";"Human,Chicken,";1;1
"20";209;4;4;1;2;"17,17,";"BV25_S137,BV27_S110,";"Cattle,Cattle,";0,0142;0,875
"21";211;7;9;2;4;"55,55,42,55,";"CH78_S137,CN60_S114,PG239_S37,PG310_S136,";"Dog,Duck,Chicken,Chicken,";0,7021;0,0915
"22";220;1;1;2;2;"20,11,";"PG108_S269,PG69-redeposit_S5,";"Chicken,Chicken,";0,8843;1
"23";227;3,66666666666667;6;3;3;"61,63,67,";"H298_S109,H308_S143,PC91_S107,";"Human,Human,Pig,";0,6458;0,4418
"24";259;10,6666666666667;13;3;3;"36,42,39,";"CH49_S16,OI9_S26,PG210_S14,";"Dog,Goose,Chicken,";0,4369;0,3831
"25";283;7,33333333333333;11;4;4;"57,16,44,11,";"CN70_S138,H88_S142,PC60_S93,PG72_S73,";"Duck,Human,Pig,Chicken,";0,8815;0,9148
"26";300;6;6;2;2;"30,6,";"CN39_S153,H31_S108,";"Duck,Human,";0,5318;0,3203
"27";307;7;7;2;2;"32,7,";"CH43_S12,CH8_S267,";"Dog,Dog,";0,1223;0,4545
"28";320;3,66666666666667;7;4;4;"72,2,38,61,";"CH96_S16,CT3_S18,H194_S103,PG344_S89,";"Dog,Cat,Human,Chicken,";0,4598;0,5426
"29";342;5,16666666666667;6;4;4;"2,55,19,60,";"BV5-redeposit_S149,CN61_S142,PC39_S36,PH14-redeposit_S9,";"Cattle,Duck,Pig,Chicken,";0,4003;0,6786
"30";358;10;10;2;2;"24,1,";"E35_S197,H7_S268,";"Water,Human,";0,2142;0,3218
"31";361;2;2;2;2;"44,41,";"PC57_S90,PG227_S3,";"Pig,Chicken,";0,8067;1
