Sample	file_id	Resgenes	file_id	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster
BV16_S49	plasmid_novel_1.fasta	NA	plasmid_novel_1.fasta	1	5447	45.951900128511106	rep_cluster_2050	001473__CP024541	-	-	-	-	MOBP	NC_013372	Mobilizable	CP012558	0.0838645	19
BV16_S49	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	67244	51.2149782880257	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP003035	0.186761	156
BV16_S49	plasmid_2911.fasta	NA	plasmid_2911.fasta	1	23250	51.402150537634405	-	-	-	-	-	-	-	-	Non-mobilizable	CP012736	0.0447178	291
BV16_S49	plasmid_991.fasta	blaCTX-M-15;blaTEM-1B;tet(A);qnrS1;dfrA14	plasmid_991.fasta	9	74813	52.45478726959218	IncFIB	000107__CP014778_00094	MOBC	NC_014725_00039	MPF_T	NC_011092_00102,NC_011092_00103,NC_011092_00100	-	-	Conjugative	KM023153	0.00308338	99
BV16_S49	plasmid_1068.fasta	NA	plasmid_1068.fasta	1	17571	50.99880484889875	-	-	-	-	-	-	-	-	Non-mobilizable	CP021680	0.00920555	106
BV16_S49	plasmid_35.fasta	NA	plasmid_35.fasta	1	3205	46.957878315132604	ColRNAI_rep_cluster_1857	000008__AJ627566	-	-	-	-	MOB_unknown,MOBP	NC_019986,NZ_CP012632	Mobilizable	CP016042	0.000931334	3
BV18_S57	plasmid_811.fasta	NA	plasmid_811.fasta	3	21329	59.52459093253317	-	-	-	-	-	-	-	-	Non-mobilizable	FJ042668	0.0415686	81
BV18_S57	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	4126	46.316044595249636	ColRNAI_rep_cluster_1987	000019__CP000651_00005	-	-	-	-	-	-	Non-mobilizable	JQ319766	0.130979	16
BV18_S57	plasmid_2911.fasta	NA	plasmid_2911.fasta	1	30729	50.017898402160824	-	-	-	-	-	-	-	-	Non-mobilizable	CP012736	0.0468354	291
BV18_S57	plasmid_991.fasta	qnrS1;sul2;blaTEM-1B;blaCTX-M-15;aph(6)-Id;tet(A)	plasmid_991.fasta	8	84778	50.803274434405154	IncY	000230__CP009168_00001	MOBC	NC_014725_00039	MPF_T	NC_011092_00100,NC_011092_00102,NC_011092_00103	-	-	Conjugative	CP021681	0.0025468	99
BV1_S194	plasmid_34.fasta	NA	plasmid_34.fasta	1	3257	47.282775560331594	ColRNAI_rep_cluster_1857	000008__AJ627566	-	-	-	-	MOB_unknown,MOBP	NC_019986,CP018844	Mobilizable	CP019023	0.00305472	3
BV1_S194	plasmid_2912.fasta	NA	plasmid_2912.fasta	1	28971	49.028338683511095	-	-	-	-	-	-	-	-	Non-mobilizable	CP010208	0.0461689	291
BV1_S194	plasmid_1007.fasta	tet(A)	plasmid_1007.fasta	15	63937	50.30107762328542	IncH	000138__CP021336_00001	-	-	-	-	-	-	Non-mobilizable	CP021846	0.0144562	100
BV22_S63	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	198760	50.11420809015899	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	AB011549	0.219531	155
BV22_S63	plasmid_887.fasta	NA	plasmid_887.fasta	1	2442	48.85339885339885	-	-	-	-	-	-	-	-	Non-mobilizable	CP003996	0.010441	88
BV22_S63	plasmid_703.fasta	NA	plasmid_703.fasta	1	33877	40.50830947250347	rep_cluster_827	002306__NC_011148_00034	MOBP	KU963390_00048	MPF_T	NC_011148_00026,NC_017903_00051,NC_011148_00022,NC_011148_00025,NC_011148_00028	-	-	Conjugative	CP001137	0.0208822	70
BV23-redeposit_S150	plasmid_920.fasta	blaCTX-M-55	plasmid_920.fasta	5	111262	46.295231076198526	IncFIB	000105__NC_011917_00001	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP020118	0.0125875	92
BV25_S137	plasmid_novel_1.fasta	NA	plasmid_novel_1.fasta	1	10071	42.0911528150134	IncFIB	000101__NZ_CP012345_00042	-	-	-	-	-	-	Non-mobilizable	AY333434	0.219531	155
BV25_S137	plasmid_23.fasta	NA	plasmid_23.fasta	1	6568	48.507917174177834	ColRNAI_rep_cluster_1857	000008__AJ627566	MOBP	NC_019076_00002	-	-	MOBP	MF083142	Mobilizable	CP016519	0.000483446	2
BV25_S137	plasmid_786.fasta	NA	plasmid_786.fasta	2	28371	39.596771351027456	rep_cluster_991	002471__CP001165_00001	-	-	MPF_T	NC_011351_00011,NC_011351_00014,NC_011351_00005,NC_011351_00013	-	-	Non-mobilizable	CP008807	0.0225651	78
BV25_S137	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	5516	51.359680928208846	rep_cluster_488	001852__AP017612_00001	-	-	-	-	-	-	Non-mobilizable	CP009870	0.124491	73
BV25_S137	plasmid_528.fasta	NA	plasmid_528.fasta	3	50904	53.145135942165645	-	-	MOBF	NC_017627_00068	MPF_F	NC_019037_00027,NC_017639_00100,NC_014615_00033,NC_010409_00124,NC_019094_00068,NC_019094_00090,08-5333_00200,NC_007675_00027,NC_022651_00077,NC_017639_00094,NC_010719_00096,NC_013437_00116	-	-	Conjugative	CP018107	0.0303826	52
BV25_S137	plasmid_476.fasta	tet(A);sul2;blaCTX-M-1	plasmid_476.fasta	19	121227	50.55556930386795	IncFII,IncI1,IncFIIA	000121__CP024805,000145__HE610900_00001,000136__AP014877_00014	MOBP	NC_019097	MPF_I	NZ_CM001473_00069,NC_019111_00038,NC_022267_00069,NC_022267_00057,NC_019097_00075,NC_023290_00086,NC_019097_00056,NC_015965_00072,NC_019097_00085	MOBP	HM021326	Conjugative	KT779550	0.00544411	47
BV27_S110	plasmid_novel_1.fasta	NA	plasmid_novel_1.fasta	2	4808	52.05906821963394	IncFII,IncFIIA	000121__CP024805,000136__AP014877_00014	-	-	-	-	-	-	Non-mobilizable	KX008967	0.133864	54
BV27_S110	plasmid_novel_2.fasta	NA	plasmid_novel_2.fasta	1	5512	51.36066763425254	rep_cluster_488	001852__AP017612_00001	-	-	-	-	-	-	Non-mobilizable	CP009870	0.124491	73
